C1,C2,C5,C8,C10,C11,C12,C16,C17,C20,C23,C25,C29,C30,C32,C36,C44,N2,N3,N4,N5,N7,N11,N12,N13,N14,N15,N16,N20,N21,N22,N24,N25,N27,N30,N31,SalePrice
30,RM,IR3,Inside,OldTown,Artery,Norm,CompShg,Wd Sdng,TA,Fa,No,Gd,N,TA,Unf,Normal,5232,5,5,1925,0,680,764,0,0,764,0,2,1,4,1965,2,0,0,0,73000
60,FV,Reg,Inside,Somerst,Norm,Norm,CompShg,VinylSd,Gd,Ex,No,Ex,Y,Ex,Fin,Partial,10800,8,5,2007,100,1034,1050,1028,0,2078,1,3,1,8,2008,3,0,0,0,339750
60,RL,IR1,Inside,Timber,Norm,Norm,CompShg,VinylSd,Gd,Gd,Gd,Ex,Y,Gd,Fin,Normal,12665,8,5,2005,245,1094,1133,1349,0,2482,0,4,1,9,2005,3,144,0,0,281213
30,RM,Reg,Inside,BrkSide,Norm,Norm,CompShg,MetalSd,TA,TA,No,TA,N,TA,Unf,Abnorml,6120,5,7,1925,0,768,1015,0,0,1015,0,3,1,6,1925,1,0,0,120,88000
70,RL,Reg,Inside,BrkSide,Norm,Norm,CompShg,Wd Sdng,TA,TA,No,Ex,Y,TA,Unf,Normal,13515,6,6,1919,0,764,1060,764,0,1824,0,3,1,8,1940,2,0,0,0,180500
20,RL,IR1,Corner,Somerst,Norm,Norm,CompShg,VinylSd,Gd,Gd,No,Ex,Y,Gd,RFn,Normal,13501,8,5,2006,208,1623,1636,0,0,1636,1,3,1,8,2006,3,0,0,0,255000
20,RL,IR1,Inside,0mes,Norm,Norm,CompShg,Wd Sdng,TA,TA,No,TA,Y,TA,RFn,Normal,12493,4,5,1960,0,1100,1100,0,0,1100,1,3,1,6,1960,1,355,0,0,141000
20,RL,IR1,Corner,Sawyer,Norm,Norm,CompShg,HdBoard,TA,TA,No,Gd,Y,Gd,Unf,Normal,7758,5,7,1962,0,999,999,0,0,999,1,3,1,6,1963,1,0,0,0,132500
20,RL,Reg,Corner,Crawfor,Norm,Norm,CompShg,Wd Sdng,TA,Gd,Mn,TA,Y,Gd,Unf,Abnorml,21000,6,5,1953,184,1809,2259,0,0,2259,1,3,1,7,1953,2,166,0,0,217000
50,RM,Reg,Inside,BrkSide,Norm,Norm,CompShg,Wd Sdng,TA,TA,No,TA,Y,TA,Unf,Normal,6240,6,6,1934,0,816,816,0,360,1176,0,3,1,6,1985,2,112,0,0,114500
20,RL,Reg,Inside,0mes,Norm,Norm,CompShg,BrkFace,TA,TA,No,Ex,Y,Gd,RFn,Normal,7500,5,7,1959,0,1246,1246,0,0,1246,1,3,1,6,1959,1,218,0,0,154000
160,RL,IR1,Inside,StoneBr,Norm,Norm,CompShg,HdBoard,Gd,Gd,No,Gd,Y,Gd,RFn,Normal,5306,7,7,1987,0,1064,1064,703,0,1767,1,2,1,5,1987,2,441,0,0,239000
20,RL,IR1,Inside,CollgCr,Norm,Norm,CompShg,VinylSd,Gd,Ex,Gd,Ex,Y,Ex,RFn,Normal,10226,8,5,2008,270,1622,1630,0,0,1630,1,3,1,8,2008,3,172,0,0,295493
190,RL,Reg,Corner,Crawfor,Norm,Norm,CompShg,MetalSd,TA,TA,Mn,TA,Y,TA,Unf,Normal,15750,5,5,1953,56,1165,1336,0,0,1336,1,2,1,5,1953,1,0,0,0,157000
120,RL,Reg,Inside,NridgHt,Norm,Norm,CompShg,MetalSd,Gd,Gd,No,Ex,Y,Gd,Fin,Normal,6240,8,5,2006,176,1324,1324,0,0,1324,1,2,1,6,2006,2,192,0,0,254000
80,RL,IR1,Corner,0mes,Norm,Norm,Tar&Grv,Plywood,TA,Gd,Gd,Gd,Y,TA,RFn,Normal,9150,6,5,1962,305,1099,1431,0,0,1431,0,3,1,6,1962,1,64,0,0,165000
